EndUse,Run name,FuelType,0
Fans,a_n_2126_tg4,Natural Gas,0.0
Fans,a_o_2126_tg5,Electricity,307.68
Fans,a_o_2126_tg5,Natural Gas,0.0
Fans,a_p_2126_tg6,Electricity,338.49
Fans,a_p_2126_tg6,Natural Gas,0.0
Fans,b_a_2126_dg_init_int,Electricity,275.41
Fans,b_a_2126_dg_init_int,Natural Gas,0.0
Fans,b_b_2126_dg0_int,Electricity,297.77
Fans,b_b_2126_dg0_int,Natural Gas,0.0
Fans,b_c_2126_sg1_int,Electricity,303.02
Fans,b_c_2126_sg1_int,Natural Gas,0.0
Fans,b_d_2126_sg2_int,Electricity,266.59
Fans,b_d_2126_sg2_int,Natural Gas,0.0
Fans,b_e_2126_dg1_int,Electricity,347.57
Fans,b_e_2126_dg1_int,Natural Gas,0.0
Fans,b_f_2126_dg2_int,Electricity,312.97
Fans,b_f_2126_dg2_int,Natural Gas,0.0
Fans,b_g_2126_dg3_int,Electricity,319.73
Fans,b_g_2126_dg3_int,Natural Gas,0.0
Fans,b_h_2126_dg4_int,Electricity,283.03
Fans,b_h_2126_dg4_int,Natural Gas,0.0
Fans,b_i_2126_dg5_int,Electricity,297.19
Fans,b_i_2126_dg5_int,Natural Gas,0.0
Fans,b_j_2126_dg6_int,Electricity,313.76
Fans,b_j_2126_dg6_int,Natural Gas,0.0
Fans,b_k_2126_tg1_int,Electricity,370.81
Fans,b_k_2126_tg1_int,Natural Gas,0.0
Fans,b_l_2126_tg2_int,Electricity,333.05
Fans,b_l_2126_tg2_int,Natural Gas,0.0
Fans,b_m_2126_tg3_int,Electricity,328.26
Fans,b_m_2126_tg3_int,Natural Gas,0.0
Fans,b_n_2126_tg4_int,Electricity,304.66
Fans,b_n_2126_tg4_int,Natural Gas,0.0
Fans,b_o_2126_tg5_int,Electricity,307.02
Fans,b_o_2126_tg5_int,Natural Gas,0.0
Fans,b_p_2126_tg6_int,Electricity,333.56
Fans,b_p_2126_tg6_int,Natural Gas,0.0
Fans,c_a_2126_dg_init_ext,Electricity,246.11
Fans,c_a_2126_dg_init_ext,Natural Gas,0.0
Fans,c_b_2126_dg0_ext,Electricity,250.64
Fans,c_b_2126_dg0_ext,Natural Gas,0.0
Fans,c_c_2126_sg1_ext,Electricity,259.37
Fans,c_c_2126_sg1_ext,Natural Gas,0.0
Fans,c_d_2126_sg2_ext,Electricity,242.58
Fans,c_d_2126_sg2_ext,Natural Gas,0.0
Fans,c_e_2126_dg1_ext,Electricity,292.03
Fans,c_e_2126_dg1_ext,Natural Gas,0.0
Fans,c_f_2126_dg2_ext,Electricity,274.17
Fans,c_f_2126_dg2_ext,Natural Gas,0.0
Fans,c_g_2126_dg3_ext,Electricity,280.29
Fans,c_g_2126_dg3_ext,Natural Gas,0.0
Fans,c_h_2126_dg4_ext,Electricity,265.4
Fans,c_h_2126_dg4_ext,Natural Gas,0.0
Fans,c_i_2126_dg5_ext,Electricity,269.4
Fans,c_i_2126_dg5_ext,Natural Gas,0.0
Fans,c_j_2126_dg6_ext,Electricity,276.59
Fans,c_j_2126_dg6_ext,Natural Gas,0.0
Fans,c_k_2126_tg1_ext,Electricity,316.9
Fans,c_k_2126_tg1_ext,Natural Gas,0.0
Fans,c_l_2126_tg2_ext,Electricity,294.61
Fans,c_l_2126_tg2_ext,Natural Gas,0.0
Fans,c_m_2126_tg3_ext,Electricity,291.3
Fans,c_m_2126_tg3_ext,Natural Gas,0.0
Fans,c_n_2126_tg4_ext,Electricity,286.96
Fans,c_n_2126_tg4_ext,Natural Gas,0.0
Fans,c_o_2126_tg5_ext,Electricity,285.61
Fans,c_o_2126_tg5_ext,Natural Gas,0.0
Fans,c_p_2126_tg6_ext,Electricity,296.77
Fans,c_p_2126_tg6_ext,Natural Gas,0.0
Fans,d_a_2126_dg_init_vav,Electricity,93.42
Fans,d_a_2126_dg_init_vav,Natural Gas,0.0
Fans,d_b_2126_dg0_vav,Electricity,114.89
Fans,d_b_2126_dg0_vav,Natural Gas,0.0
Fans,d_c_2126_sg1_vav,Electricity,121.27
Fans,d_c_2126_sg1_vav,Natural Gas,0.0
Fans,d_d_2126_sg2_vav,Electricity,86.59
Fans,d_d_2126_sg2_vav,Natural Gas,0.0
Fans,d_e_2126_dg1_vav,Electricity,124.93
Fans,d_e_2126_dg1_vav,Natural Gas,0.0
Fans,d_f_2126_dg2_vav,Electricity,101.41
Fans,d_f_2126_dg2_vav,Natural Gas,0.0
Fans,d_g_2126_dg3_vav,Electricity,103.38
Fans,d_g_2126_dg3_vav,Natural Gas,0.0
Fans,d_h_2126_dg4_vav,Electricity,80.44
Fans,d_h_2126_dg4_vav,Natural Gas,0.0
