Category,Subcategory,Unit,Step,Name,0
climate change,climate change total,kg CO2-Eq,step_9_FR,i_e_2126_ccf_CH,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_e_2126_ccf_DE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_e_2126_ccf_DK,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_e_2126_ccf_FR,3.485171027944845
climate change,climate change total,kg CO2-Eq,step_9_FR,i_e_2126_ccf_PL,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_f_2126_dg_vacuum_BE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_f_2126_dg_vacuum_CH,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_f_2126_dg_vacuum_DE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_f_2126_dg_vacuum_DK,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_f_2126_dg_vacuum_FR,-119.27914670852086
climate change,climate change total,kg CO2-Eq,step_9_FR,i_f_2126_dg_vacuum_PL,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_g_2126_dg_smart_BE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_g_2126_dg_smart_CH,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_g_2126_dg_smart_DE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_g_2126_dg_smart_DK,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_g_2126_dg_smart_FR,-187.3933177324395
climate change,climate change total,kg CO2-Eq,step_9_FR,i_g_2126_dg_smart_PL,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_h_2126_dsf_min_BE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_h_2126_dsf_min_CH,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_h_2126_dsf_min_DE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_h_2126_dsf_min_DK,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_h_2126_dsf_min_FR,-190.40604535063412
climate change,climate change total,kg CO2-Eq,step_9_FR,i_h_2126_dsf_min_PL,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_i_2126_dsf_mean_BE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_i_2126_dsf_mean_CH,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_i_2126_dsf_mean_DE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_i_2126_dsf_mean_DK,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_i_2126_dsf_mean_FR,-144.28244601966608
climate change,climate change total,kg CO2-Eq,step_9_FR,i_i_2126_dsf_mean_PL,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_j_2126_dsf_max_BE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_j_2126_dsf_max_CH,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_j_2126_dsf_max_DE,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_j_2126_dsf_max_DK,
climate change,climate change total,kg CO2-Eq,step_9_FR,i_j_2126_dsf_max_FR,-100.56162503836688
climate change,climate change total,kg CO2-Eq,step_9_FR,i_j_2126_dsf_max_PL,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_b_2126_dg5k_BE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_b_2126_dg5k_CH,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_b_2126_dg5k_DE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_b_2126_dg5k_DK,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_b_2126_dg5k_FR,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_b_2126_dg5k_PL,-665.9319630793578
climate change,climate change total,kg CO2-Eq,step_9_PL,i_c_2126_tg5k_BE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_c_2126_tg5k_CH,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_c_2126_tg5k_DE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_c_2126_tg5k_DK,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_c_2126_tg5k_FR,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_c_2126_tg5k_PL,-1171.9131721995439
climate change,climate change total,kg CO2-Eq,step_9_PL,i_d_2126_tg5x_BE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_d_2126_tg5x_CH,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_d_2126_tg5x_DE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_d_2126_tg5x_DK,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_d_2126_tg5x_FR,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_d_2126_tg5x_PL,-1087.9634086385718
climate change,climate change total,kg CO2-Eq,step_9_PL,i_e_2126_ccf_BE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_e_2126_ccf_CH,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_e_2126_ccf_DE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_e_2126_ccf_DK,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_e_2126_ccf_FR,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_e_2126_ccf_PL,-1258.5247520945334
climate change,climate change total,kg CO2-Eq,step_9_PL,i_f_2126_dg_vacuum_BE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_f_2126_dg_vacuum_CH,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_f_2126_dg_vacuum_DE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_f_2126_dg_vacuum_DK,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_f_2126_dg_vacuum_FR,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_f_2126_dg_vacuum_PL,-562.1015593498411
climate change,climate change total,kg CO2-Eq,step_9_PL,i_g_2126_dg_smart_BE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_g_2126_dg_smart_CH,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_g_2126_dg_smart_DE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_g_2126_dg_smart_DK,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_g_2126_dg_smart_FR,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_g_2126_dg_smart_PL,-1954.078883085405
climate change,climate change total,kg CO2-Eq,step_9_PL,i_h_2126_dsf_min_BE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_h_2126_dsf_min_CH,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_h_2126_dsf_min_DE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_h_2126_dsf_min_DK,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_h_2126_dsf_min_FR,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_h_2126_dsf_min_PL,-935.4577113369807
climate change,climate change total,kg CO2-Eq,step_9_PL,i_i_2126_dsf_mean_BE,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_i_2126_dsf_mean_CH,
climate change,climate change total,kg CO2-Eq,step_9_PL,i_i_2126_dsf_mean_DE,
