,"market for curtain wall, triple glazing, coated, high perf alu frame","market for curtain wall, smart glazing, high perf alu frame","market for curtain wall, vacuum double glazing, coated, high perf alu frame","market for curtain wall, triple glazing, two coatings, xenon, high perf alu frame","market for curtain wall, double glazing, coated, high perf alu frame","market for curtain wall, single glazing, coated, low perf alu frame","market for curtain wall, double glazing, coated, krypton, high perf alu frame","market for curtain wall, triple glazing, two coatings, krypton, high perf alu frame","market for curtain wall, double glazing, two coatings, high perf alu frame","market for curtain wall, single glazing, low perf alu frame","market for curtain wall, double glazing, low perf alu frame","market for curtain wall, double skin facade","market for curtain wall, ccf","market for curtain wall, triple glazing, two coatings, high perf alu frame"
340,1.627512530808862e-05,2.8195599026521762e-05,1.4258889498459587e-05,1.756471251934179e-05,1.4085766526043027e-05,1.1570276114243499e-05,1.4188003281173786e-05,1.6395650573936684e-05,1.4157223563824258e-05,1.149852431947116e-05,1.3885859414951625e-05,2.3700275050912666e-05,3.1933301768975396e-05,1.6191177308719656e-05
341,2.791510534130522e-05,3.770259893847433e-05,2.4553507675627936e-05,2.995777577336058e-05,2.4397917175716472e-05,1.969433245365435e-05,2.4612101222841064e-05,2.791766726154694e-05,2.4521786661301995e-05,1.956995260272926e-05,2.298890720453352e-05,4.173043376200777e-05,6.222214475597495e-05,2.748929856340983e-05
342,2.2550308070849005e-05,4.76301725439555e-05,2.0013964649022645e-05,2.39843323067303e-05,1.9723246333421435e-05,1.6353465864068314e-05,1.989772858882441e-05,2.2822201388808244e-05,1.9804689754809437e-05,1.6271686712254092e-05,1.9333373165861157e-05,3.316643894436958e-05,4.3010291359499586e-05,2.247323677118977e-05
343,1.7960216104192423e-05,5.514101085176126e-05,1.5757269316315734e-05,1.9947041048532707e-05,1.563306602789106e-05,1.2454980218499573e-05,1.5791613971987754e-05,1.8161766819842756e-05,1.56997707144384e-05,1.2388000631407301e-05,1.4714501037190817e-05,2.580984693840522e-05,3.697626048600377e-05,1.784467076687479e-05
344,2.4347047043645932e-05,3.238372024975433e-05,2.119042740960485e-05,2.675563879081461e-05,2.0789449311663274e-05,1.614846360567961e-05,2.1014250005161327e-05,2.4671362042225658e-05,2.089045488293835e-05,1.6047041823631805e-05,2.003401043443343e-05,3.4407886258886704e-05,4.5284164072378156e-05,2.4221761164160033e-05
345,2.4182161282705558e-05,3.261754525581014e-05,2.1193495109279426e-05,2.577062123869037e-05,2.0880727879690535e-05,1.6737801455093083e-05,2.1079434663699594e-05,2.4408981202660176e-05,2.0966672985930752e-05,1.6651502050174685e-05,2.0275769660020448e-05,3.483164223561449e-05,4.544780630275526e-05,2.401156773435688e-05
346,1.947300380572605e-05,4.1501900709648015e-05,1.751851505799212e-05,2.1772866018986436e-05,1.738137465696426e-05,1.4916901893319905e-05,1.760105623277101e-05,1.9744385653213265e-05,1.743722395190087e-05,1.4860822526734476e-05,1.6834968248301044e-05,2.9963833693348573e-05,4.1729476910902486e-05,1.9305022425372793e-05
347,2.9902117029553812e-05,4.011235540087911e-05,2.681128524012893e-05,3.162791407263503e-05,2.6324630045911822e-05,2.186414039074536e-05,2.6468649233022728e-05,2.9961956390033466e-05,2.6433681514050183e-05,2.175463911021637e-05,2.55345183044963e-05,4.545251756997993e-05,5.752367232503419e-05,2.9673917840605523e-05
348,3.317866050796223e-05,5.460091786694634e-05,2.9465691440197605e-05,3.586174907572058e-05,2.913178991554363e-05,2.4028757453879246e-05,2.9476491919277865e-05,3.3733067549618165e-05,2.926423709200805e-05,2.3895764442988925e-05,2.8334649997811367e-05,4.9664566662278926e-05,6.148539403647813e-05,3.304366327128134e-05
349,2.1058864767336496e-05,4.720167800861104e-05,1.8575172736145294e-05,2.2632426884420136e-05,1.838456415558595e-05,1.507808446794715e-05,1.851080966719974e-05,2.1120309070944355e-05,1.846426464217674e-05,1.4998055864441194e-05,1.7780564531731802e-05,3.054557428967923e-05,4.2175096405981385e-05,2.0867819210545874e-05
350,1.8225535578410962e-05,2.8332638020472476e-05,1.6260499486499653e-05,1.9738818143962124e-05,1.596952356186824e-05,1.310337360199547e-05,1.6114541447123236e-05,1.841171125108679e-05,1.6027348736527406e-05,1.304530980521306e-05,1.541842657797517e-05,2.6254257012585577e-05,3.511185359238232e-05,1.8121675529736544e-05
351,2.9795228093166576e-05,6.444969604860485e-05,2.6153629796561706e-05,3.2656027733362245e-05,2.5974583888344578e-05,1.9259284209745517e-05,2.6252018954175813e-05,3.0073350112741172e-05,2.610288434644962e-05,1.9130454774579416e-05,2.2624991452910424e-05,4.221736863595785e-05,6.405122792655458e-05,2.951847971906608e-05
352,2.1020488915011258e-05,3.722875641273836e-05,1.854425088545782e-05,2.3786415555868788e-05,1.8361051876962076e-05,1.5216420187122457e-05,1.851928221045024e-05,2.1063053714715206e-05,1.8435767398608488e-05,1.5141396380922498e-05,1.784342405721141e-05,3.089591361032438e-05,4.348880179569384e-05,2.074659246416537e-05
353,2.632070301625618e-05,6.039418086066335e-05,2.3147166993245994e-05,2.835403927653621e-05,2.2977287954521346e-05,1.9034814085597773e-05,2.317605633838286e-05,2.6388043357441727e-05,2.308122877081938e-05,1.893044464644994e-05,2.2351259383578706e-05,3.903821120499387e-05,5.678869475200669e-05,2.599050629636374e-05
354,2.4627973446221044e-05,3.539757831181544e-05,2.1753153071100063e-05,2.5937783657385165e-05,2.1599115812662494e-05,1.7760509274664604e-05,2.1792801154922108e-05,2.4832263591850463e-05,2.1689712457381887e-05,1.766953912243155e-05,2.083790043329786e-05,3.667108900022719e-05,4.947674087898226e-05,2.4444892920119854e-05
355,1.9838521730257418e-05,4.0320609498897005e-05,1.7517801790720238e-05,2.1705309960444325e-05,1.7182401728617758e-05,1.3980060998084647e-05,1.72940619718184e-05,1.9913688823747835e-05,1.7255092733939292e-05,1.3907070174239352e-05,1.675122764942169e-05,2.9361430535182066e-05,3.9750539946942074e-05,1.9690368131580578e-05
356,2.8828602674932955e-05,4.91728258538148e-05,2.5321509937783538e-05,3.031801395464982e-05,2.5046605583876824e-05,2.005611947624718e-05,2.5272711237407742e-05,2.9104594300041814e-05,2.515711136033605e-05,1.9945158018629523e-05,2.3857409229759917e-05,4.119406711884672e-05,5.941247209637213e-05,2.8652383143814597e-05
